File,WMC,DIT,NOC,CBO,RFC,LCOM,CA,CE,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,CC,MaX_CC,SUM_LOC+,MAX_LOC+,SUM_LOC-,MAX_LOC-,MAX_SET,AVG_SET,NO_REV,SUM_CHRN,MAX_CHRN,Age,CountOfDeveloper,REF,BUG
API.java,21,0,0,19,78,130,7,12,15,0.858333333,770,1,0,0,0.202380952,0,0,35.38095238,3,17,448,311,13,5,38,8.12,8,461,311,25,2,FALSE,TRUE
InMediator.java,3,0,0,7,16,3,2,5,3,2,59,0,0,0,0.833333333,0,0,18.66666667,2,4,5,5,0,0,96,96,1,5,5,-57.14,1,FALSE,TRUE
AMQPConsumer.java,9,1,0,5,60,22,1,5,2,0.967105263,418,1,3,0,0.277777778,0,0,43.33333333,1.111111111,3,3,3,9,9,9,9,1,12,12,-67,1,FALSE,FALSE
ComponentType.java,4,2,0,17,7,4,16,1,2,0.933333333,67,0.2,5,0.866666667,0.444444444,1,1,14.5,0.5,1,0,0,0,0,0,0,0,0,0,167.85,0,FALSE,FALSE
RMSequenceMediatorFactory.java,4,0,0,10,28,2,0,10,3,0.666666667,260,1,5,0,0.555555556,0,0,62.75,5,19,0,0,0,0,25,25,1,0,0,-70.28,1,FALSE,FALSE
IterateMediator.java,17,0,0,22,60,48,2,20,16,0.760416667,428,1,3,0,0.170588235,0,0,23.82352941,1.941176471,11,5,4,7,4,1,1,2,12,7,-7.42,2,FALSE,TRUE
MBeanRegistrar.java,9,1,0,15,26,22,12,3,3,0.625,180,1,2,0,0.583333333,0,0,18.77777778,1.555555556,3,0,0,0,0,0,0,0,0,0,160,0,FALSE,FALSE
APIDeployer.java,6,0,0,11,36,0,0,11,5,0.2,471,1,1,0,0.65,0,0,77.33333333,3.166666667,6,172,172,0,0,38,38,1,172,172,25,1,FALSE,FALSE
SourceXPathSupport.java,6,1,0,15,19,1,5,10,6,0.8,99,0.666666667,1,0,0.333333333,0,0,15,1.666666667,4,0,0,0,0,0,0,0,0,0,207,0,FALSE,FALSE
CipherOperationMode.java,4,2,0,8,7,4,7,1,2,0.888888889,45,0.333333333,3,0.866666667,0.444444444,1,1,9.5,0.5,1,0,0,0,0,0,0,0,0,0,106.28,0,FALSE,FALSE
MBeanRegistrar.java,9,1,0,3,26,22,1,2,3,0.625,175,1,2,0,0.583333333,0,0,18.22222222,1.555555556,3,0,0,0,0,0,0,0,0,0,106.28,0,FALSE,FALSE
DataSourceInformationFactory.java,4,1,0,8,59,0,1,7,1,0.333333333,754,1,1,0,0.444444444,0,0,187.25,2.75,10,0,0,0,0,0,0,0,0,0,160,0,FALSE,FALSE
LogMediator.java,18,0,0,13,66,55,4,9,11,0.949019608,455,0.266666667,0,0,0.253968254,0,0,23.44444444,2.222222222,8,13,13,0,0,96,96,1,13,13,-57.14,1,FALSE,TRUE
StatisticsCleaner.java,3,1,0,5,18,0,1,4,2,0.8125,119,1,2,0,0.75,0,0,36,2.333333333,7,0,0,0,0,0,0,0,0,0,167.28,0,FALSE,FALSE
Template.java,14,1,0,15,34,49,10,6,12,0.8,170,1,1,0,0.357142857,0,0,10.78571429,1.5,6,0,0,0,0,0,0,0,0,0,64.85,0,FALSE,FALSE
Axis2SynapseEnvironment.java,24,1,0,42,95,194,6,36,21,0.845849802,755,0.818181818,7,0,0.130434783,0,0,30,2.541666667,25,84,38,39,18,96,52.75,4,123,56,25,1,FALSE,TRUE
SimpleQuartz.java,9,0,0,18,66,2,2,17,6,0.6875,336,1,4,0,0.275,0,0,35.88888889,3.111111111,15,1,1,1,1,4,4,1,2,2,-60.85,1,FALSE,FALSE
HttpCoreRequestResponseTransport.java,9,1,0,11,21,4,1,10,7,0.6875,98,1,3,0,0.375,0,0,9.444444444,0.888888889,2,2,2,2,2,96,96,1,4,4,-57.14,1,FALSE,TRUE
SpringMediatorSerializer.java,4,0,0,7,18,4,0,7,3,0.666666667,72,1,1,0,0.666666667,0,0,16.75,1.25,4,0,0,0,0,0,0,0,0,0,171.28,0,FALSE,FALSE
SoapSessionDispatcher.java,7,0,0,13,21,1,4,9,6,0.333333333,95,1,1,0,0.833333333,0,0,12.42857143,1.285714286,5,0,0,0,0,0,0,0,0,0,220,0,FALSE,FALSE
StatisticsReporter.java,12,1,0,22,53,24,7,15,7,0.181818182,411,1,1,0,0.242424242,0,0,33.16666667,4.416666667,11,0,0,0,0,0,0,0,0,0,168,0,FALSE,FALSE
EndpointSerializer.java,9,1,10,43,41,34,16,37,2,0.875,199,1,2,0,0.333333333,0,0,20.88888889,2.888888889,12,23,21,10,8,46,17.66,3,33,29,30.14,2,TRUE,TRUE
LatencyViewMBean.java,9,1,0,1,9,36,1,0,9,2,9,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,98.71,0,FALSE,FALSE
URLMappingHelper.java,5,1,0,5,19,0,3,2,5,0.5,204,1,0,0,0.9,0,0,39.2,3.6,6,110,97,3,3,38,12.4,5,113,97,25,1,TRUE,TRUE
SecretManager.java,9,1,0,16,46,0,4,12,5,0.902777778,398,1,3,0,0.416666667,0,0,42.22222222,4.333333333,22,0,0,0,0,0,0,0,0,0,106.28,0,FALSE,FALSE
TemplateMediatorFactory.java,5,0,0,10,25,2,1,9,2,0.666666667,113,0.666666667,3,0,0.5,0,0,21,1.2,3,10,5,32,26,18,12.66,3,42,31,18.28,2,FALSE,TRUE
FaultMediator.java,35,0,0,33,128,403,2,31,26,0.904411765,957,0.75,4,0,0.151648352,0,0,25.88571429,2.742857143,15,9,9,12,12,1,1,1,21,21,-0.85,1,FALSE,TRUE
DOOMResultBuilderFactory.java,2,1,0,6,4,1,1,5,2,2,9,0,0,0,0.666666667,0,0,3.5,0.5,1,0,0,0,0,0,0,0,0,0,205.85,0,FALSE,FALSE
TopicBasedEventFilter.java,9,1,0,12,23,16,1,11,7,0.8125,97,1,2,0,0.325,0,0,9.333333333,1.111111111,4,0,0,0,0,3,3,1,0,0,-15.57,1,FALSE,FALSE
SchemaResourceResolver.java,3,1,0,6,15,0,1,5,2,0.5,82,1,3,0,0.625,0,0,25.33333333,1.333333333,4,0,0,0,0,0,0,0,0,0,70,0,FALSE,FALSE
ServerConfigurationInformation.java,31,1,0,27,52,349,24,3,26,0.916666667,422,1,1,0,0.511111111,0,0,12.16129032,1.419354839,5,0,0,0,0,0,0,0,0,0,170.28,0,FALSE,FALSE
ClassMediator.java,8,0,0,11,29,0,2,9,8,0.5,158,1,1,0,0.270833333,0,0,18.5,1.875,4,5,5,0,0,96,96,1,5,5,-57.14,1,FALSE,TRUE
WSDLEndpointFactory.java,4,0,0,15,46,4,1,14,1,1,266,0.5,1,0,0.416666667,0,0,65,4.5,17,7,7,5,4,25,14,2,12,11,-61.14,1,FALSE,TRUE
SingleSecretCallback.java,9,1,0,9,10,22,8,1,9,0.75,49,1,0,0,0.777777778,0,0,4.111111111,0.666666667,1,0,0,0,0,0,0,0,0,0,106.28,0,FALSE,FALSE
Nameable.java,2,1,0,6,2,1,6,0,2,2,2,0,0,0,0.75,0,0,0,1,1,0,0,0,0,0,0,0,0,0,167.85,0,FALSE,FALSE
AXIOMSourceBuilder.java,4,1,0,4,5,6,1,3,4,2,17,0,0,0,0.75,0,0,3.25,0.75,1,0,0,0,0,0,0,0,0,0,205.42,0,FALSE,FALSE
InternalQueue.java,8,1,0,8,8,28,8,0,8,2,8,0,0,0,0.40625,0,0,0,1,1,0,0,0,0,0,0,0,0,0,120.71,0,FALSE,FALSE
TargetSerializer.java,3,1,0,16,18,1,4,12,2,0.5,87,1,3,0,0.5,0,0,27,2.333333333,7,0,0,0,0,0,0,0,0,0,214.42,0,FALSE,FALSE
MessageProcessorSerializer.java,5,1,0,14,30,2,3,11,2,0.625,155,1,4,0,0.3125,0,0,29.2,2.2,8,23,23,8,8,5,5,1,31,31,-51,1,FALSE,FALSE
SEDAQueueConsumer.java,1,1,0,5,1,0,4,1,1,2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,147.42,0,FALSE,FALSE
SEDAQueuePolicy.java,9,1,0,3,12,16,3,0,9,0.928571429,61,0.571428571,0,0,0.481481481,0,0,5,0.888888889,1,0,0,0,0,0,0,0,0,0,147.42,0,FALSE,FALSE
MDDProducer.java,7,1,0,0,34,21,0,0,2,2,209,0,0,0,0.204081633,0,0,28.85714286,1.571428571,4,0,0,0,0,0,0,0,0,0,179.14,0,FALSE,FALSE
DefaultEndpointFactory.java,7,0,2,12,33,19,3,10,2,0.833333333,196,1,1,0,0.388888889,0,0,26.85714286,2.714285714,7,0,0,1,1,25,25,1,1,1,-70.28,1,FALSE,FALSE
FileBaseSecretRepositoryProvider.java,2,1,0,5,4,1,0,5,2,2,11,0,0,0,0.666666667,0,0,4.5,0.5,1,0,0,0,0,0,0,0,0,0,106.28,0,FALSE,FALSE
EvaluatorFactory.java,1,1,0,9,1,0,6,3,1,2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,120.71,0,FALSE,FALSE
SecretManagerSecretCallbackHandler.java,2,0,0,4,11,0,0,4,1,0,38,1,1,0,0.75,0,0,17.5,2.5,5,0,0,0,0,0,0,0,0,0,106.28,0,FALSE,FALSE
AddressEndpoint.java,4,0,0,14,21,6,10,4,4,2,62,0,0,0,0.75,0,0,14.5,2,3,0,0,0,0,0,0,0,0,0,220,0,FALSE,FALSE
SynapseThreadPool.java,3,3,0,2,8,3,1,1,3,1.5,66,0,0,1,0.555555556,0,0,17,0,0,0,0,0,0,0,0,0,0,0,172,0,FALSE,FALSE
DefaultEndpoint.java,4,0,0,7,21,6,3,4,4,2,62,0,0,0,0.75,0,0,14.5,2,3,0,0,0,0,0,0,0,0,0,213.14,0,FALSE,FALSE
AbstractMessageProcessor.java,13,1,1,8,18,62,1,7,13,0.927083333,91,1,3,0,0.365384615,0,0,5.384615385,1.076923077,2,0,0,0,0,0,0,0,0,0,67.71,0,FALSE,FALSE
AbstractKeyStoreLoader.java,4,1,2,6,26,0,2,4,0,0,227,1,1,0,0.666666667,0,0,55.5,3.25,11,0,0,0,0,0,0,0,0,0,106.28,0,FALSE,FALSE
ResourceMapFactory.java,4,1,0,9,16,4,3,6,2,0.333333333,76,1,1,0,0.333333333,0,0,17.75,1.5,5,0,0,0,0,0,0,0,0,0,158.42,0,FALSE,FALSE
StartupFactory.java,3,1,0,5,3,3,3,2,3,2,3,0,0,0,0.666666667,0,0,0,1,1,0,0,0,0,0,0,0,0,0,206.28,0,FALSE,FALSE
TargetFactory.java,4,1,0,14,25,2,4,10,2,0.5,147,1,2,0,0.333333333,0,0,35.25,3.5,12,0,0,0,0,0,0,0,0,0,214.42,0,FALSE,FALSE
URLRewriteMediatorSerializer.java,5,0,0,16,37,4,0,16,2,2,240,0,0,0,0.4,0,0,47,2.4,6,2,2,2,2,2,2,1,4,4,36.71,1,FALSE,TRUE
SynapseMustUnderstandHandler.java,2,0,0,9,14,1,1,8,2,2,47,0,0,0,0.75,0,0,22,0.5,1,0,0,0,0,0,0,0,0,0,171.28,0,FALSE,FALSE
FilterMediatorSerializer.java,3,0,0,11,27,3,0,11,3,2,140,0,0,0,0.666666667,0,0,45.66666667,3.333333333,9,0,0,0,0,0,0,0,0,0,221.28,0,FALSE,FALSE
MediatorCustomVariable.java,10,0,0,14,38,13,2,12,6,0.694444444,230,1,2,0,0.26984127,0,0,21.6,2.5,10,0,0,0,0,0,0,0,0,0,221.14,0,FALSE,FALSE
ConditionalRouterMediator.java,7,0,0,12,33,1,2,10,7,0.666666667,149,1,0,0,0.357142857,0,0,19.85714286,1.285714286,4,0,0,0,0,0,0,0,0,0,108.14,0,FALSE,FALSE
PriorityExecutorDeployer.java,6,0,0,11,36,0,0,11,5,0.2,483,1,1,0,0.65,0,0,79.33333333,3,5,2,2,1,1,7,7,1,3,3,26.28,1,FALSE,TRUE
StatisticsViewMBean.java,7,1,0,1,7,21,1,0,7,2,7,0,0,0,0.714285714,0,0,0,1,1,0,0,0,0,0,0,0,0,0,167.85,0,FALSE,FALSE
InMemoryMessageStore.java,12,0,0,6,43,0,1,5,11,0.454545455,281,1,1,0,0.340909091,0,0,22.16666667,1.75,3,54,53,40,40,7,5.5,2,94,93,26.28,1,FALSE,TRUE
SimpleURLRegistry.java,14,0,0,17,76,55,0,17,10,0.826923077,604,1,2,0,0.296703297,0,0,41.85714286,3.571428571,15,0,0,0,0,0,0,0,0,0,218.14,0,FALSE,FALSE
LoggingIOSession.java,26,1,0,7,58,0,3,5,21,0.672,405,1,3,0,0.182692308,0,0,14.38461538,1.423076923,5,0,0,0,0,65,65,1,0,0,-61.42,1,FALSE,FALSE
SynapseXPathFactory.java,5,1,0,30,18,0,21,9,3,0.25,75,1,1,0,0.375,0,0,13.8,0.6,1,0,0,0,0,0,0,0,0,0,221.14,0,FALSE,FALSE
DataSourceFinder.java,4,1,0,5,15,0,2,3,3,0.333333333,93,1,1,0,0.416666667,0,0,22,1,3,6,6,1,1,1,1,1,7,7,-58.71,1,FALSE,TRUE
ListMediator.java,6,1,0,15,6,15,13,2,6,2,6,0,0,0,0.458333333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,220.71,0,FALSE,FALSE
TrustKeyStoreWrapper.java,3,0,0,9,6,3,6,3,3,2,14,0,0,0,0.666666667,0,0,3.666666667,0.666666667,1,0,0,0,0,0,0,0,0,0,106.28,0,FALSE,FALSE
JMXSecretsProviderMBean.java,3,1,0,1,3,3,1,0,3,2,3,0,0,0,0.833333333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,106.28,0,FALSE,FALSE
ReplaceMediator.java,6,0,0,7,16,0,1,6,6,0.5,61,1,1,0,0.375,0,0,8.833333333,0.833333333,1,0,0,0,0,0,0,0,0,0,167.71,0,FALSE,FALSE
StreamSourceBuilderFactory.java,2,1,0,5,4,1,1,4,2,2,10,0,0,0,0.75,0,0,4,0.5,1,0,0,0,0,0,0,0,0,0,205.85,0,FALSE,FALSE
Target.java,18,1,0,26,39,75,16,10,16,0.830882353,331,1,3,0,0.254901961,0,0,16.94444444,2.055555556,22,0,0,0,0,0,0,0,0,0,108.42,0,FALSE,FALSE
MultiPriorityBlockingQueue.java,26,3,0,9,69,0,5,6,23,0.674285714,843,1,1,0.456521739,0.15034965,2,11,31.15384615,1.5,3,0,0,0,0,0,0,0,0,0,120.71,0,FALSE,FALSE
DataSourceInformation.java,66,1,0,15,78,1979,14,1,66,0.974825175,431,0.939393939,1,0,0.189393939,0,0,5.03030303,1.045454545,5,0,0,0,0,0,0,0,0,0,155.14,0,FALSE,FALSE
StatisticsLog.java,14,1,0,5,21,59,3,2,14,0.802197802,104,1,2,0,0.273809524,0,0,5.928571429,0.857142857,1,0,0,0,0,0,0,0,0,0,168,0,FALSE,FALSE
CipherFactory.java,4,1,0,9,13,6,3,6,4,2,58,0,0,0,0.35,0,0,13.5,1.5,2,0,0,0,0,0,0,0,0,0,106.28,0,FALSE,FALSE
LogMediatorSerializer.java,3,0,0,7,20,3,0,7,3,2,125,0,0,0,0.666666667,0,0,40.66666667,4.666666667,13,0,0,0,0,0,0,0,0,0,172.14,0,FALSE,FALSE
AbstractDBMediatorSerializer.java,5,0,2,16,33,0,2,14,1,2,390,0,0,0,0.4,0,0,77,5.6,20,0,0,0,0,0,0,0,0,0,221.14,0,FALSE,FALSE
SynapseXMLConfigurationFactory.java,22,1,0,35,90,217,1,34,18,0.619047619,704,0.5,1,0,0.404761905,0,0,30.90909091,2.136363636,17,61,18,15,5,46,13.87,8,76,22,26.28,3,TRUE,TRUE
FilterMediatorFactory.java,4,0,0,11,29,2,0,11,3,0.666666667,215,1,3,0,0.555555556,0,0,52,4,15,0,0,0,0,0,0,0,0,0,221.28,0,FALSE,FALSE
ResolvingEndpointSerializer.java,2,0,0,12,12,1,1,12,1,2,48,0,0,0,0.75,0,0,23,2,4,0,0,0,0,0,0,0,0,0,139.85,0,FALSE,FALSE
AccessTimeUtil.java,9,1,0,5,32,30,2,3,5,0.625,220,1,0,0,0.15,0,0,23.33333333,1.555555556,4,181,181,0,0,9,9,1,181,181,26.14,1,FALSE,TRUE
DecryptionProvider.java,1,1,0,4,1,0,4,0,1,2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,106.28,0,FALSE,FALSE
AbstractMediatorFactory.java,9,1,36,46,40,30,36,10,1,0.9609375,308,0.9375,16,0,0.375,0,0,31.44444444,2.555555556,12,0,0,0,0,0,0,0,0,0,221.28,0,FALSE,FALSE
Mediator.java,4,1,0,134,4,6,133,2,4,2,4,0,0,0,0.5,0,0,0,1,1,2,2,0,0,96,96,1,2,2,-57.14,1,FALSE,TRUE
StatisticsView.java,10,1,0,6,24,0,1,6,8,0.277777778,139,1,2,0,0.4,0,0,12.7,1.1,2,0,0,0,0,0,0,0,0,0,167.85,0,FALSE,FALSE
AnonymousListMediatorFactory.java,2,0,0,6,5,1,2,4,2,2,15,0,0,0,0.5,0,0,6.5,0.5,1,0,0,0,0,0,0,0,0,0,89,0,FALSE,FALSE
SamplingProcessor.java,9,0,0,12,30,18,2,11,7,0.925,124,0.6,2,0,0.555555556,0,0,12.22222222,0.888888889,1,10,10,14,14,8,8,1,24,24,-59.42,1,FALSE,TRUE
DOOMResultBuilder.java,7,1,0,10,20,13,1,9,4,0.583333333,68,1,1,0,0.333333333,0,0,8.428571429,0.857142857,2,0,0,0,0,0,0,0,0,0,205.85,0,FALSE,FALSE
InvokeMediatorFactory.java,5,0,0,10,21,4,1,9,2,0.666666667,95,0.333333333,3,0,0.583333333,0,0,17.4,1,2,1,1,1,1,6,6,1,2,2,-60.42,1,FALSE,FALSE
Access.java,29,1,0,46,87,386,28,41,22,0.959183673,559,1,3,0,0.160714286,0,0,18.03448276,1.551724138,9,813,811,1,1,17,14,3,814,811,26.14,1,TRUE,TRUE
MultiXMLConfigurationBuilder.java,17,1,0,28,86,0,1,27,2,0.945833333,934,0.133333333,1,0,0.427083333,0,0,53.05882353,3.235294118,5,295,233,125,111,46,21.8,5,420,344,26.28,2,TRUE,TRUE
Statistics.java,12,1,0,3,21,18,2,1,12,0.818181818,179,0.888888889,0,0,0.283333333,0,0,13.16666667,1.416666667,6,0,0,0,0,0,0,0,0,0,168,0,FALSE,FALSE
AnonymousListMediatorSerializer.java,3,0,0,5,6,3,2,3,3,2,14,0,0,0,0.666666667,0,0,3.666666667,0.666666667,1,0,0,0,0,0,0,0,0,0,206.28,0,FALSE,FALSE
ForwardingProcessorConstants.java,1,1,0,0,2,0,0,0,1,2,10,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,57.57,0,FALSE,FALSE
XMLConfigurationBuilder.java,3,1,0,9,11,1,2,7,2,0.5,25,1,1,0,0.5,0,0,7,0.333333333,1,0,0,0,0,0,0,0,0,0,89,0,FALSE,FALSE
TransactionMediatorSerializer.java,3,0,0,7,15,3,0,7,3,2,45,0,0,0,0.666666667,0,0,14,1,2,0,0,0,0,0,0,0,0,0,170.14,0,FALSE,FALSE
StreamResultBuilder.java,6,1,0,17,22,3,1,16,4,0.72,107,1,4,0,0.3,0,0,16,1.166666667,3,0,0,0,0,0,0,0,0,0,205.85,0,FALSE,FALSE
XQueryMediatorSerializer.java,3,0,0,14,37,3,0,14,3,2,389,0,0,0,0.666666667,0,0,128.6666667,13.66666667,40,0,0,0,0,0,0,0,0,0,221.14,0,FALSE,FALSE
SynapseEnvironment.java,15,1,0,88,15,105,84,8,15,2,15,0,0,0,0.244444444,0,0,0,1,1,0,0,0,0,0,0,0,0,0,217.71,0,FALSE,FALSE
TaskTriggerFactory.java,1,1,0,4,1,0,2,2,1,2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,188.28,0,FALSE,FALSE
TaskDescriptionRepository.java,11,1,0,8,31,0,4,4,7,0.3,220,1,1,0,0.566666667,0,0,18.81818182,2.090909091,5,0,0,0,0,0,0,0,0,0,188.28,0,FALSE,FALSE
ServiceLoadBalanceMembershipHandler.java,10,1,0,13,41,35,0,13,8,0.833333333,194,1,3,0,0.277777778,0,0,18,1.2,3,168,154,4,4,5,3,2,172,154,26.14,1,FALSE,FALSE
PlainServerIOEventDispatch.java,2,0,0,9,6,1,1,8,1,2,17,0,0,0,0.625,0,0,7.5,0.5,1,28,28,14,14,65,51.5,2,42,42,-59,1,TRUE,FALSE
RMIRegistryController.java,11,1,0,6,39,9,3,3,4,0.566666667,273,0.666666667,2,0,0.28,0,0,23.54545455,1.545454545,4,0,0,0,0,0,0,0,0,0,160,0,FALSE,FALSE
NotSerializer.java,2,0,0,8,9,1,1,7,2,2,35,0,0,0,0.666666667,0,0,16.5,0.5,1,3,3,2,2,10,10,1,5,5,-58.28,1,FALSE,TRUE
MediatorProperty.java,12,1,0,20,25,36,14,6,11,0.909090909,204,0.444444444,6,0,0.386363636,0,0,15.25,1.666666667,11,0,0,0,0,0,0,0,0,0,221.14,0,FALSE,FALSE
WSDL11EndpointBuilder.java,6,1,0,8,50,7,1,7,2,0.4,310,0.5,1,0,0.4,0,0,50.33333333,3.833333333,20,0,0,0,0,0,0,0,0,0,208.28,0,FALSE,FALSE
ThreadingViewMBean.java,12,1,0,1,12,66,1,0,12,2,12,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,98.28,0,FALSE,FALSE
IndirectEndpoint.java,12,0,0,20,37,0,5,15,11,0.409090909,211,1,1,0,0.283333333,0,0,16.41666667,2.25,16,22,12,3,2,46,27,2,25,13,26.28,1,TRUE,TRUE
MessageProcessorDeployer.java,6,0,0,12,38,0,0,12,5,0.2,505,1,1,0,0.65,0,0,83,3.333333333,7,0,0,0,0,0,0,0,0,0,57,0,FALSE,FALSE
FIXConstants.java,1,1,0,0,2,0,0,0,1,2,71,0,0,0,1,0,0,3,0,0,9,8,0,0,3,2.5,2,9,8,24.28,1,FALSE,TRUE
FaultHandler.java,7,1,4,26,33,9,23,4,5,0.5,259,1,2,0,0.333333333,0,0,35.71428571,3,10,0,0,0,0,0,0,0,0,0,191.14,0,FALSE,FALSE
FIXOutgoingMessageHandler.java,7,1,0,11,28,1,1,10,4,0.5,403,1,2,0,0.452380952,0,0,56,1.285714286,5,0,0,0,0,0,0,0,0,0,153.28,0,FALSE,FALSE
DBLookupMediatorSerializer.java,3,0,0,7,13,3,0,7,3,2,40,0,0,0,0.666666667,0,0,12.33333333,1,2,0,0,0,0,0,0,0,0,0,214.42,0,FALSE,FALSE
FIXApplicationFactory.java,2,1,0,8,4,0,3,5,2,0,18,1,1,0,0.6,0,0,7.5,0.5,1,0,0,0,0,0,0,0,0,0,160.14,0,FALSE,FALSE
PropertyInclude.java,5,1,0,26,5,10,25,1,5,2,5,0,0,0,0.45,0,0,0,1,1,0,0,0,0,0,0,0,0,0,108.71,0,FALSE,FALSE
CACertsLoader.java,4,1,0,5,25,0,1,4,2,0.333333333,126,1,1,0,0.666666667,0,0,30.25,1,3,0,0,0,0,0,0,0,0,0,106.28,0,FALSE,FALSE
AbstractListMediatorFactory.java,2,0,8,15,17,1,8,7,1,2,52,0,0,0,0.5,0,0,25,1.5,3,0,0,0,0,0,0,0,0,0,206.28,0,FALSE,FALSE
DefaultHttpGetProcessor.java,19,1,0,25,106,69,1,24,3,0.833333333,1204,1,3,0,0.337606838,0,0,62,4.263157895,17,28,28,12,6,9,7.5,2,40,34,26.14,1,FALSE,TRUE
ReplaceMediatorFactory.java,5,0,0,7,17,6,0,7,4,0.625,74,1,2,0,0.666666667,0,0,13.4,1,3,0,0,0,0,0,0,0,0,0,167.71,0,FALSE,FALSE
SynapseStartUpServlet.java,6,0,0,7,21,13,0,7,3,1.066666667,83,0.666666667,1,0,0.6,0,0,12.33333333,0.666666667,1,1,1,0,0,2,2,1,1,1,-57.71,1,FALSE,TRUE
RESTConstants.java,1,1,0,0,2,0,0,0,1,2,19,0,0,0,1,0,0,3,0,0,57,48,1,1,38,11.6,5,58,48,25,2,FALSE,TRUE
JSONClient.java,4,1,0,9,44,6,0,9,3,2,214,0,0,0,0.25,0,0,52.5,1.25,3,0,0,0,0,0,0,0,0,0,94,0,FALSE,FALSE
SynapseObserver.java,16,1,0,10,16,120,3,7,16,2,16,0,0,0,0.25,0,0,0,1,1,0,0,0,0,0,0,0,0,0,149.71,0,FALSE,FALSE
MessageFormatterDecoratorFactory.java,3,1,0,9,16,1,2,7,2,1,69,1,1,0,0.5,0,0,21.33333333,2,6,0,0,0,0,3,3,1,0,0,-15.57,1,FALSE,TRUE
MessageContext.java,53,1,0,161,53,1378,155,10,53,2,53,0,0,0,0.127358491,0,0,0,1,1,0,0,0,0,0,0,0,0,0,217.28,0,FALSE,FALSE
DBReportMediatorSerializer.java,3,0,0,8,16,3,0,8,3,2,51,0,0,0,0.666666667,0,0,16,1.333333333,3,0,0,0,0,0,0,0,0,0,214.42,0,FALSE,FALSE
MessageStoreView.java,7,1,0,7,26,0,1,6,6,0.555555556,107,1,2,0,0.555555556,0,0,13.85714286,1.428571429,3,0,0,0,0,0,0,0,0,0,89.14,0,FALSE,FALSE
AbstractDispatcher.java,8,1,3,13,30,22,3,10,1,0.928571429,275,1,1,0,0.416666667,0,0,33.125,3.75,14,13,12,4,2,46,25,2,17,14,26.28,1,TRUE,TRUE
